,Brand,Model Name,Display Size,Operating System,Picture Quality,Smart Tv,Sound Technology,Refresh Rate,Screen Type,Connectivity,Price
291,Panasonic,TH-65LX850DX,165 cm (65 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,NA,LED,3 HDMI | 2 USB,"₹81,980"
292,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
293,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
294,TCL,55P635 Pro,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹38,990"
295,LG,OLED65A3PSA,164 cm (65 inch),WebOS,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,OLED,3 HDMI | 2 USB,"₹1,57,990"
296,Thomson,43OPMAXGT9010,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 (Rear) HDMI | 2 (Rear) USB,"₹22,999"
297,SAMSUNG,QA43LS03AAKLXL,108 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,4 HDMI | 2 USB,"₹49,990"
298,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
299,XElectron,24STV,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,1 Rear HDMI | 2 USB,"₹5,499"
300,CANDY,CA50U50LED,127 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,4 HDMI | 2 USB,"₹29,990"
301,SAMSUNG,QA55Q60RAKXXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,100 Hz,QLED,4 HDMI | 2 USB,"₹87,999"
302,Thomson,Q50H1000,126 cm (50 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹28,999"
303,Blaupunkt,75QD7040,189 cm (75 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 (Rear) HDMI | 2 (Rear) USB,"₹99,999"
304,MarQ,24HDNDQPPAB,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 HDMI | 2 USB,"₹5,699"
305,SENS,SENS55WASUHD,140 cm (55 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio,60 Hz,LED,3 HDMI | 2 USB,"₹31,999"
306,BeethoSOL,LEDATBG32HDEK,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹7,349"
307,KODAK,43CA2022,108 cm (43 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Audio,60 Hz,LED,3 HDMI | 2 USB,"₹18,999"
308,XElectron,32STV,80 cm (32 inch),NA,"HD Ready, 1366 x 768",No,NA,60 Hz,LED,2 Rear HDMI | 2 USB,"₹6,999"
309,Dyanora,DY-LD32H4S,80 cm (32 Inch),Linux,"HD Ready, 1366 x 768",Yes,Surround,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹8,399"
310,Mi,L40M7-EAIN,100 cm (40 inch),Android,"Full HD, 1920 x 1080",Yes,Dolby Audio,60 Hz,LED,2 HDMI | 2 USB,"₹25,999"
311,Coocaa,43S6G Pro,109 cm (43 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital, DTS Trusurround",60 Hz,LED,3 HDMI | 2 USB,"₹17,999"
312,Thomson,Q65H1100,164 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹43,999"
313,TOSHIBA,43C350LP,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹27,590"
314,Thomson,40PATH7777,98 cm (40 inch),Android,"Full HD, 1920 x 1080",Yes,"No, No",60 Hz,LED,3 Rear HDMI | 2 USB,"₹13,499"
315,SAMSUNG,(UA65AU8000,163 cm (65 inch),Tizen,"Ultra HD (4K), 4k",Yes,NA,50 Hz,LED,side HDMI | side USB,"₹69,990"
316,Reliance,RE32MP3972,81.01 cm (32 inch),Android,"HD Ready, 1920 x 1080",Yes,NA,60 Hz,LED,2 (Rear) HDMI | 2 USB,"₹10,599"
317,Dyanora,DY-LD24H0N,60 cm (24 inch),NA,"HD Ready, 1366 x 768",No,Surround,60 Hz,LED,1 Rear HDMI | 1 USB,"₹5,799"
318,Thomson,Q55H1001,139 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,Dolby Atmos,60 Hz,QLED,3 Rear HDMI | 2 USB,"₹31,999"
319,SAMSUNG,UA43AU7500,108 cm (43 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹36,990"
